month,day_of_month,hour,carbon_kg_kwh
1,26,3,0.1802
1,26,4,0.1768
1,26,5,0.1808
1,26,6,0.1875
1,26,7,0.1925
1,26,8,0.1952
1,26,9,0.1934
1,26,10,0.1982
1,26,11,0.1959
1,26,12,0.1897
1,26,13,0.1849
1,26,14,0.1856
1,26,15,0.1862
1,26,16,0.1933
1,26,17,0.2034
1,26,18,0.2068
1,26,19,0.2052
1,26,20,0.2019
1,26,21,0.1906
1,26,22,0.1757
1,26,23,0.1685
1,27,0,0.1608
1,27,1,0.1586
1,27,2,0.1586
1,27,3,0.1591
1,27,4,0.1601
1,27,5,0.1694
1,27,6,0.1847
1,27,7,0.1967
1,27,8,0.1995
1,27,9,0.1981
1,27,10,0.2002
1,27,11,0.2012
1,27,12,0.1933
1,27,13,0.1878
1,27,14,0.19
1,27,15,0.1949
1,27,16,0.2055
1,27,17,0.2194
1,27,18,0.2251
1,27,19,0.2211
1,27,20,0.2155
1,27,21,0.2102
1,27,22,0.1972
1,27,23,0.1802
1,28,0,0.1751
1,28,1,0.1712
1,28,2,0.1721
1,28,3,0.1742
1,28,4,0.1696
1,28,5,0.1788
1,28,6,0.1984
1,28,7,0.1978
1,28,8,0.2015
1,28,9,0.1994
1,28,10,0.1973
1,28,11,0.1966
1,28,12,0.1894
1,28,13,0.188
1,28,14,0.1918
1,28,15,0.1963
1,28,16,0.2013
1,28,17,0.205
1,28,18,0.2068
1,28,19,0.2062
1,28,20,0.2025
1,29,0,0.1591
1,29,1,0.1592
1,29,2,0.1624
1,29,3,0.1608
1,29,4,0.1641
1,29,5,0.1714
1,29,6,0.1912
1,29,7,0.1923
1,29,8,0.1927
1,29,9,0.19
1,29,10,0.1935
1,29,11,0.1993
1,29,12,0.1958
1,29,13,0.1937
1,29,14,0.192
1,29,15,0.1974
1,29,16,0.2025
1,29,17,0.2108
1,29,18,0.2062
1,29,19,0.2012
1,29,20,0.1971
1,29,21,0.1976
1,29,22,0.1862
1,29,23,0.1812
1,30,0,0.1916
1,30,1,0.1821
1,30,2,0.1731
1,30,3,0.1717
1,30,4,0.1726
1,30,5,0.1763
1,30,6,0.1768
1,30,7,0.181
1,30,8,0.1854
1,30,9,0.1955
1,30,10,0.1954
1,30,11,0.1879
1,30,12,0.1788
1,30,13,0.1792
1,30,14,0.1799
1,30,15,0.1806
1,30,16,0.1844
1,30,17,0.1906
1,30,18,0.1975
1,30,19,0.1943
1,30,20,0.1877
1,30,21,0.1826
1,30,22,0.1735
1,30,23,0.1678
1,31,0,0.1705
1,31,1,0.1647
1,31,2,0.1631
1,31,3,0.1631
1,31,4,0.1642
1,31,5,0.1603
1,31,6,0.1597
1,31,7,0.1563
1,31,8,0.1582
1,31,9,0.164
1,31,10,0.1634
1,31,11,0.1611
1,31,12,0.1633
